2025-12-18 01:08:59,367 | INFO | availability-service | [17ac912c-321a-4856-9548-30af14f455b8] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:15:00,434 | INFO | root | [f9d5c0f4-ede2-472b-9af8-1edcc749f98f] HEALTH CHECK: availability-service is healthy
2025-12-18 01:15:00,434 | INFO | availability-service | [f9d5c0f4-ede2-472b-9af8-1edcc749f98f] Request completed - Status=200, , Time taken=45.42 ms
2025-12-18 01:16:00,536 | INFO | availability-service | [95f80577-8958-4fff-b32c-7830432119eb] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:16:00,590 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:16:00,591 | INFO | root | [95f80577-8958-4fff-b32c-7830432119eb] HEALTH CHECK: availability-service is healthy
2025-12-18 01:16:00,592 | INFO | availability-service | [95f80577-8958-4fff-b32c-7830432119eb] Request completed - Status=200, , Time taken=55.86 ms
2025-12-18 01:16:04,024 | INFO | availability-service | [790a2fd2-f12e-4761-827b-250c31e76153] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:16:04,033 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:16:04,034 | INFO | root | [790a2fd2-f12e-4761-827b-250c31e76153] HEALTH CHECK: availability-service is healthy
2025-12-18 01:16:04,034 | INFO | availability-service | [790a2fd2-f12e-4761-827b-250c31e76153] Request completed - Status=200, , Time taken=9.87 ms
2025-12-18 01:17:00,695 | INFO | availability-service | [aceb942e-eadc-4758-a1fc-e8dc5d74b133] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:17:00,741 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:17:00,742 | INFO | root | [aceb942e-eadc-4758-a1fc-e8dc5d74b133] HEALTH CHECK: availability-service is healthy
2025-12-18 01:17:00,742 | INFO | availability-service | [aceb942e-eadc-4758-a1fc-e8dc5d74b133] Request completed - Status=200, , Time taken=47.67 ms
2025-12-18 01:17:34,181 | INFO | availability-service | [343e7592-4654-4eed-9ff4-c2385d15a28f] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:17:34,212 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:17:34,213 | INFO | root | [343e7592-4654-4eed-9ff4-c2385d15a28f] HEALTH CHECK: availability-service is healthy
2025-12-18 01:17:34,213 | INFO | availability-service | [343e7592-4654-4eed-9ff4-c2385d15a28f] Request completed - Status=200, , Time taken=33.02 ms
2025-12-18 01:18:00,827 | INFO | availability-service | [1d2a2640-c33b-4a61-a573-75353398e505] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:18:00,881 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:18:00,882 | INFO | root | [1d2a2640-c33b-4a61-a573-75353398e505] HEALTH CHECK: availability-service is healthy
2025-12-18 01:18:00,883 | INFO | availability-service | [1d2a2640-c33b-4a61-a573-75353398e505] Request completed - Status=200, , Time taken=55.39 ms
2025-12-18 01:19:00,976 | INFO | availability-service | [521b4f79-0a25-4b6e-812e-4c97a99232f9] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:19:01,002 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:19:01,002 | INFO | root | [521b4f79-0a25-4b6e-812e-4c97a99232f9] HEALTH CHECK: availability-service is healthy
2025-12-18 01:19:01,003 | INFO | availability-service | [521b4f79-0a25-4b6e-812e-4c97a99232f9] Request completed - Status=200, , Time taken=26.62 ms
2025-12-18 01:19:04,361 | INFO | availability-service | [42dcb3de-959a-4140-aac6-78233ce6013a] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:19:04,383 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:19:04,383 | INFO | root | [42dcb3de-959a-4140-aac6-78233ce6013a] HEALTH CHECK: availability-service is healthy
2025-12-18 01:19:04,384 | INFO | availability-service | [42dcb3de-959a-4140-aac6-78233ce6013a] Request completed - Status=200, , Time taken=23.12 ms
2025-12-18 01:20:01,099 | INFO | availability-service | [1a8f3370-c8a8-4e10-99a7-516ce1fc7c13] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:20:01,140 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:20:01,141 | INFO | root | [1a8f3370-c8a8-4e10-99a7-516ce1fc7c13] HEALTH CHECK: availability-service is healthy
2025-12-18 01:20:01,141 | INFO | availability-service | [1a8f3370-c8a8-4e10-99a7-516ce1fc7c13] Request completed - Status=200, , Time taken=42.24 ms
2025-12-18 01:20:34,518 | INFO | availability-service | [cdd3e9d9-5108-4e26-a27e-7e160446c99b] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:20:34,559 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:20:34,559 | INFO | root | [cdd3e9d9-5108-4e26-a27e-7e160446c99b] HEALTH CHECK: availability-service is healthy
2025-12-18 01:20:34,560 | INFO | availability-service | [cdd3e9d9-5108-4e26-a27e-7e160446c99b] Request completed - Status=200, , Time taken=41.68 ms
2025-12-18 01:21:01,232 | INFO | availability-service | [4013b7d0-bd27-4f88-8ccd-a9e8725d5269] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:21:01,281 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:21:01,282 | INFO | root | [4013b7d0-bd27-4f88-8ccd-a9e8725d5269] HEALTH CHECK: availability-service is healthy
2025-12-18 01:21:01,283 | INFO | availability-service | [4013b7d0-bd27-4f88-8ccd-a9e8725d5269] Request completed - Status=200, , Time taken=51.14 ms
2025-12-18 01:22:01,427 | INFO | availability-service | [5d1f447b-3edd-4f62-93a6-57fccc58b5a9] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:22:01,465 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:22:01,468 | INFO | root | [5d1f447b-3edd-4f62-93a6-57fccc58b5a9] HEALTH CHECK: availability-service is healthy
2025-12-18 01:22:01,470 | INFO | availability-service | [5d1f447b-3edd-4f62-93a6-57fccc58b5a9] Request completed - Status=200, , Time taken=43.12 ms
2025-12-18 01:22:04,741 | INFO | availability-service | [0bbcb31a-2f2c-4304-8d28-3ba8d55da629] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:22:04,776 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:22:04,777 | INFO | root | [0bbcb31a-2f2c-4304-8d28-3ba8d55da629] HEALTH CHECK: availability-service is healthy
2025-12-18 01:22:04,778 | INFO | availability-service | [0bbcb31a-2f2c-4304-8d28-3ba8d55da629] Request completed - Status=200, , Time taken=37.30 ms
2025-12-18 01:23:01,624 | INFO | availability-service | [b9e369f5-fa21-45a1-9be1-4303e3ec93d9] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:23:01,681 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:23:01,682 | INFO | root | [b9e369f5-fa21-45a1-9be1-4303e3ec93d9] HEALTH CHECK: availability-service is healthy
2025-12-18 01:23:01,683 | INFO | availability-service | [b9e369f5-fa21-45a1-9be1-4303e3ec93d9] Request completed - Status=200, , Time taken=59.13 ms
2025-12-18 01:23:34,882 | INFO | availability-service | [8ef91db6-aefa-4f2f-91a2-d1e7805b5b29] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:23:34,904 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:23:34,906 | INFO | root | [8ef91db6-aefa-4f2f-91a2-d1e7805b5b29] HEALTH CHECK: availability-service is healthy
2025-12-18 01:23:34,907 | INFO | availability-service | [8ef91db6-aefa-4f2f-91a2-d1e7805b5b29] Request completed - Status=200, , Time taken=24.19 ms
2025-12-18 01:24:01,808 | INFO | availability-service | [b53ba492-dd0e-4258-bd2c-be3812e91fb4] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:24:01,840 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:24:01,841 | INFO | root | [b53ba492-dd0e-4258-bd2c-be3812e91fb4] HEALTH CHECK: availability-service is healthy
2025-12-18 01:24:01,842 | INFO | availability-service | [b53ba492-dd0e-4258-bd2c-be3812e91fb4] Request completed - Status=200, , Time taken=33.73 ms
2025-12-18 01:25:01,955 | INFO | availability-service | [ca4ded71-3b18-452d-aba9-6337f27b1682] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:25:02,078 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:25:02,091 | INFO | root | [ca4ded71-3b18-452d-aba9-6337f27b1682] HEALTH CHECK: availability-service is healthy
2025-12-18 01:25:02,097 | INFO | availability-service | [ca4ded71-3b18-452d-aba9-6337f27b1682] Request completed - Status=200, , Time taken=142.60 ms
2025-12-18 01:25:05,066 | INFO | availability-service | [cafabd36-5f2f-406d-ae1f-09932eea6c77] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:25:05,099 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:25:05,100 | INFO | root | [cafabd36-5f2f-406d-ae1f-09932eea6c77] HEALTH CHECK: availability-service is healthy
2025-12-18 01:25:05,100 | INFO | availability-service | [cafabd36-5f2f-406d-ae1f-09932eea6c77] Request completed - Status=200, , Time taken=33.69 ms
2025-12-18 01:26:02,243 | INFO | availability-service | [3ce5faa4-d4e2-4d9e-967a-0ba678c45426] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:26:02,269 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:26:02,270 | INFO | root | [3ce5faa4-d4e2-4d9e-967a-0ba678c45426] HEALTH CHECK: availability-service is healthy
2025-12-18 01:26:02,271 | INFO | availability-service | [3ce5faa4-d4e2-4d9e-967a-0ba678c45426] Request completed - Status=200, , Time taken=27.89 ms
2025-12-18 01:26:35,221 | INFO | availability-service | [cd3f2560-3892-438e-aa32-aab17c435fbf] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:26:35,248 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:26:35,248 | INFO | root | [cd3f2560-3892-438e-aa32-aab17c435fbf] HEALTH CHECK: availability-service is healthy
2025-12-18 01:26:35,249 | INFO | availability-service | [cd3f2560-3892-438e-aa32-aab17c435fbf] Request completed - Status=200, , Time taken=27.87 ms
2025-12-18 01:27:02,428 | INFO | availability-service | [7eca776c-486f-4880-b7a6-c78e3daf0556] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:27:02,465 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:27:02,466 | INFO | root | [7eca776c-486f-4880-b7a6-c78e3daf0556] HEALTH CHECK: availability-service is healthy
2025-12-18 01:27:02,466 | INFO | availability-service | [7eca776c-486f-4880-b7a6-c78e3daf0556] Request completed - Status=200, , Time taken=39.01 ms
2025-12-18 01:28:02,567 | INFO | availability-service | [1e515d6f-b0ef-46bc-beb3-31dd9b96fd5a] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:28:02,608 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:28:02,609 | INFO | root | [1e515d6f-b0ef-46bc-beb3-31dd9b96fd5a] HEALTH CHECK: availability-service is healthy
2025-12-18 01:28:02,610 | INFO | availability-service | [1e515d6f-b0ef-46bc-beb3-31dd9b96fd5a] Request completed - Status=200, , Time taken=42.66 ms
2025-12-18 01:28:05,368 | INFO | availability-service | [3c065553-0c6c-437f-b8a0-e6ebc18faee3] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:28:05,378 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:28:05,378 | INFO | root | [3c065553-0c6c-437f-b8a0-e6ebc18faee3] HEALTH CHECK: availability-service is healthy
2025-12-18 01:28:05,379 | INFO | availability-service | [3c065553-0c6c-437f-b8a0-e6ebc18faee3] Request completed - Status=200, , Time taken=11.00 ms
2025-12-18 01:29:02,723 | INFO | availability-service | [6050be61-df68-4077-be39-cda0382e02d8] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:29:02,765 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:29:02,766 | INFO | root | [6050be61-df68-4077-be39-cda0382e02d8] HEALTH CHECK: availability-service is healthy
2025-12-18 01:29:02,767 | INFO | availability-service | [6050be61-df68-4077-be39-cda0382e02d8] Request completed - Status=200, , Time taken=44.47 ms
2025-12-18 01:29:35,497 | INFO | availability-service | [e28b5ba4-9e8b-4325-b752-f2aa77dd21a7] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:29:35,525 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:29:35,526 | INFO | root | [e28b5ba4-9e8b-4325-b752-f2aa77dd21a7] HEALTH CHECK: availability-service is healthy
2025-12-18 01:29:35,527 | INFO | availability-service | [e28b5ba4-9e8b-4325-b752-f2aa77dd21a7] Request completed - Status=200, , Time taken=30.07 ms
2025-12-18 01:30:02,867 | INFO | availability-service | [ecf98c7d-5a3f-41a5-88b1-9e023e8e1084] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:30:02,912 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:30:02,913 | INFO | root | [ecf98c7d-5a3f-41a5-88b1-9e023e8e1084] HEALTH CHECK: availability-service is healthy
2025-12-18 01:30:02,913 | INFO | availability-service | [ecf98c7d-5a3f-41a5-88b1-9e023e8e1084] Request completed - Status=200, , Time taken=46.69 ms
2025-12-18 01:31:03,040 | INFO | availability-service | [07326974-66a0-4e9d-9f76-83444e5b87a2] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:31:03,076 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:31:03,077 | INFO | root | [07326974-66a0-4e9d-9f76-83444e5b87a2] HEALTH CHECK: availability-service is healthy
2025-12-18 01:31:03,078 | INFO | availability-service | [07326974-66a0-4e9d-9f76-83444e5b87a2] Request completed - Status=200, , Time taken=38.29 ms
2025-12-18 01:31:05,647 | INFO | availability-service | [e4dc0194-a88f-4836-9811-23921ce5b8b3] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:31:05,657 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:31:05,658 | INFO | root | [e4dc0194-a88f-4836-9811-23921ce5b8b3] HEALTH CHECK: availability-service is healthy
2025-12-18 01:31:05,659 | INFO | availability-service | [e4dc0194-a88f-4836-9811-23921ce5b8b3] Request completed - Status=200, , Time taken=12.05 ms
2025-12-18 01:32:03,228 | INFO | availability-service | [3a06c861-5d5e-4690-88aa-a0b114701685] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:32:03,260 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:32:03,261 | INFO | root | [3a06c861-5d5e-4690-88aa-a0b114701685] HEALTH CHECK: availability-service is healthy
2025-12-18 01:32:03,262 | INFO | availability-service | [3a06c861-5d5e-4690-88aa-a0b114701685] Request completed - Status=200, , Time taken=34.33 ms
2025-12-18 01:32:35,787 | INFO | availability-service | [bdeb0041-99b0-4403-aa17-d9ba2c7bd3e7] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:32:35,823 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:32:35,824 | INFO | root | [bdeb0041-99b0-4403-aa17-d9ba2c7bd3e7] HEALTH CHECK: availability-service is healthy
2025-12-18 01:32:35,824 | INFO | availability-service | [bdeb0041-99b0-4403-aa17-d9ba2c7bd3e7] Request completed - Status=200, , Time taken=36.98 ms
2025-12-18 01:33:03,369 | INFO | availability-service | [5e219b24-ddb8-4e47-b329-7a52250cb3a8] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:33:03,393 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:33:03,394 | INFO | root | [5e219b24-ddb8-4e47-b329-7a52250cb3a8] HEALTH CHECK: availability-service is healthy
2025-12-18 01:33:03,394 | INFO | availability-service | [5e219b24-ddb8-4e47-b329-7a52250cb3a8] Request completed - Status=200, , Time taken=25.97 ms
2025-12-18 01:34:03,521 | INFO | availability-service | [2eae0d0f-c93e-448a-871d-5fbc73507249] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:34:03,559 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:34:03,561 | INFO | root | [2eae0d0f-c93e-448a-871d-5fbc73507249] HEALTH CHECK: availability-service is healthy
2025-12-18 01:34:03,562 | INFO | availability-service | [2eae0d0f-c93e-448a-871d-5fbc73507249] Request completed - Status=200, , Time taken=40.95 ms
2025-12-18 01:34:05,977 | INFO | availability-service | [5004f581-1d47-4f0e-a995-195615e36212] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:34:06,005 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:34:06,006 | INFO | root | [5004f581-1d47-4f0e-a995-195615e36212] HEALTH CHECK: availability-service is healthy
2025-12-18 01:34:06,006 | INFO | availability-service | [5004f581-1d47-4f0e-a995-195615e36212] Request completed - Status=200, , Time taken=29.05 ms
2025-12-18 01:35:03,703 | INFO | availability-service | [a165f1c1-7849-4a10-be2f-e9a0159a8666] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:35:03,750 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:35:03,750 | INFO | root | [a165f1c1-7849-4a10-be2f-e9a0159a8666] HEALTH CHECK: availability-service is healthy
2025-12-18 01:35:03,751 | INFO | availability-service | [a165f1c1-7849-4a10-be2f-e9a0159a8666] Request completed - Status=200, , Time taken=47.90 ms
2025-12-18 01:35:36,117 | INFO | availability-service | [19ebb4e7-627b-48aa-8062-bbd3c6a91f6a] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:35:36,146 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:35:36,147 | INFO | root | [19ebb4e7-627b-48aa-8062-bbd3c6a91f6a] HEALTH CHECK: availability-service is healthy
2025-12-18 01:35:36,147 | INFO | availability-service | [19ebb4e7-627b-48aa-8062-bbd3c6a91f6a] Request completed - Status=200, , Time taken=30.74 ms
2025-12-18 01:36:03,848 | INFO | availability-service | [df6c6766-5029-47c6-8256-d33e4337e6aa] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:36:03,886 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:36:03,887 | INFO | root | [df6c6766-5029-47c6-8256-d33e4337e6aa] HEALTH CHECK: availability-service is healthy
2025-12-18 01:36:03,888 | INFO | availability-service | [df6c6766-5029-47c6-8256-d33e4337e6aa] Request completed - Status=200, , Time taken=40.07 ms
2025-12-18 01:37:03,945 | INFO | availability-service | [c8021482-6378-4be5-908b-981307091c6c] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:37:03,976 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:37:03,977 | INFO | root | [c8021482-6378-4be5-908b-981307091c6c] HEALTH CHECK: availability-service is healthy
2025-12-18 01:37:03,978 | INFO | availability-service | [c8021482-6378-4be5-908b-981307091c6c] Request completed - Status=200, , Time taken=32.67 ms
2025-12-18 01:37:06,365 | INFO | availability-service | [6202d7ec-726d-4568-8f95-372780bfa233] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:37:06,394 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:37:06,395 | INFO | root | [6202d7ec-726d-4568-8f95-372780bfa233] HEALTH CHECK: availability-service is healthy
2025-12-18 01:37:06,395 | INFO | availability-service | [6202d7ec-726d-4568-8f95-372780bfa233] Request completed - Status=200, , Time taken=30.56 ms
2025-12-18 01:38:04,091 | INFO | availability-service | [36932760-9dd8-4343-ac7b-ebf97c4f78ef] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:38:04,137 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:38:04,138 | INFO | root | [36932760-9dd8-4343-ac7b-ebf97c4f78ef] HEALTH CHECK: availability-service is healthy
2025-12-18 01:38:04,138 | INFO | availability-service | [36932760-9dd8-4343-ac7b-ebf97c4f78ef] Request completed - Status=200, , Time taken=47.64 ms
2025-12-18 01:38:36,482 | INFO | availability-service | [f31637eb-664e-49df-ba35-97efbce1ed1c] Request started - Method=GET Path=/availabilities/health
2025-12-18 01:38:36,512 | INFO | httpx | HTTP Request: GET http://user-service:8000/health "HTTP/1.1 200 OK"
2025-12-18 01:38:36,513 | INFO | root | [f31637eb-664e-49df-ba35-97efbce1ed1c] HEALTH CHECK: availability-service is healthy
2025-12-18 01:38:36,513 | INFO | availability-service | [f31637eb-664e-49df-ba35-97efbce1ed1c] Request completed - Status=200, , Time taken=30.68 ms
2025-12-18 01:39:04,253 | INFO | availability-service | [2a08dc64-a599-40dc-869b-6b4d961b32bb] Request started - Method=GET Path=/availabilities/health
